"","REG_ID","LIFE_EXP","BB_ACC","AIR_POL","VOTERS_SH","ROOMS_PC","SUBJ_SOC_SUPP","STD_MORT","EMP_RA","EDU38_SH","HOMIC_RA","UNEM_RA","INCOME_DISP","SUBJ_LIFE_SAT","SUBJ_PERC_CORR","ISC11","region","EARLY_LEAVERS_RATE_Y18T24","NEAC_SHARE_EA_Y25T64","NEAC_SHARE_EA_Y25T34"
"41","ITI1",83.4,74,10.9,79.2,1.9,90.1,6.7,65.2,64.9,0.7,10.1,20308,6.1,86.3,"T","IT",13.8,NA,NA
"42","ITI2",83.3,71,9.9,79.5,1.8,81.1,6.7,61.9,72.3,0.9,11.3,19419,6.1,80,"T","IT",9.1,NA,NA
"43","ITI3",83.6,74,8.1,79.8,1.8,87,6.5,63.6,67.5,0.5,10.1,19766,6,86.7,"T","IT",10.9,NA,NA
"44","ITI4",82.8,73,9.5,77.5,1.7,92.4,6.9,59.1,75.1,0.9,12.5,20818,6.1,88.2,"T","IT",12.5,NA,NA
"45","UKC",80,86,6.7,61.2,2.2,92.1,8.5,68.5,79.7,1,8.5,18459,6.7,45.6,"T","UK",12.1,NA,NA
"46","UKD",80,87,10.3,64,2.1,94.4,8.5,69.9,81.4,1,7.1,19050,6.8,47.2,"T","UK",13.4,NA,NA
"47","UKE",80.5,86,7.8,63.1,2.1,95.8,8.3,70.8,79.3,1.1,7.4,18848,6.9,47.5,"T","UK",14.9,NA,NA
"48","UKF",81.2,89,7.4,66.6,2.1,95,7.8,74.3,79.7,1,5.6,19656,6.9,49.7,"T","UK",10.9,NA,NA
"49","UKG",80.8,85,7.8,63.5,2.1,95.3,8,70.7,77.3,1,6.8,19231,6.8,51.8,"T","UK",16.7,NA,NA
"50","UKH",82.2,87,12.1,67.6,2.1,94.6,7.3,77,80.4,0.9,5.2,22901,6.9,47.9,"T","UK",12.6,NA,NA
"51","UKI",82.3,92,11.3,65.5,1.8,92.9,7.1,71.4,86.5,1.3,7,27831,6.7,42,"T","UK",6,NA,NA
"52","UKJ",82.2,91,10.1,68.5,2,93.6,7.3,77.5,84.3,0.8,4.8,24606,6.9,45.5,"T","UK",10.6,NA,NA
"53","UKK",81.9,90,9.9,69.6,2.1,94.7,7.4,77.4,82.6,0.8,5,21881,7,42.4,"T","UK",9.5,NA,NA
"54","UKL",80.3,85,8.3,65.7,2.2,95,8.3,70.4,80.7,0.7,6.8,19035,6.8,53.7,"T","UK",13.1,NA,NA
"55","UKM",79.3,84,6.9,71.1,1.9,96,8.9,72.6,83.2,1.2,6.2,21060,7.1,49.6,"T","UK",12,NA,NA
"56","UKN",80.4,86,6.1,58.1,1.9,95.1,8.2,68.1,76.1,1.2,6.4,17722,7,53.2,"T","UK",16.1,NA,NA
"57","US01",75.4,68.7,7.4,61.9,2.7,94.4,10.6,63.1,89.2,7.2,7.1,31369,7.4,75.3,"T","US",8.058,NA,NA
"58","US01",75.4,68.7,7.4,61.9,2.7,94.4,10.6,63.1,89.2,7.2,7.1,31369,7.4,75.3,"T","US",0.597,NA,NA
"59","US02",78.3,82.6,3,58.4,2.1,93.7,8.3,66.5,92.4,4.6,7.1,43028,6.8,54.5,"T","US",3.186,NA,NA
"60","US02",78.3,82.6,3,58.4,2.1,93.7,8.3,66.5,92.4,4.6,7.1,43028,6.8,54.5,"T","US",0.756,NA,NA
"61","US04",79.6,76.2,6,55.9,2.4,90,7.7,66.5,87.4,5.4,7,31567,6.9,74.6,"T","US",9.418,NA,NA
"62","US04",79.6,76.2,6,55.9,2.4,90,7.7,66.5,87.4,5.4,7,31567,6.9,74.6,"T","US",0.485,NA,NA
"63","US05",76,65.7,7.6,53.3,2.6,90.8,10.3,63.7,88.6,5.4,5.9,31430,7,73.8,"T","US",7.094,NA,NA
"64","US05",76,65.7,7.6,53.3,2.6,90.8,10.3,63.7,88.6,5.4,5.9,31430,7,73.8,"T","US",0.76,NA,NA
"65","US06",80.8,80.5,6.2,57.5,1.9,93.2,7.3,66,85.2,4.5,7.5,39517,7.4,67.2,"T","US",6.871,NA,NA
"66","US06",80.8,80.5,6.2,57.5,1.9,93.2,7.3,66,85.2,4.5,7.5,39517,7.4,67.2,"T","US",0.16,NA,NA
"67","US08",80,83,5.8,70.4,2.5,93.6,7.6,73.5,90.9,3.4,4.9,38902,7.4,63.4,"T","US",7.213,NA,NA
"68","US08",80,83,5.8,70.4,2.5,93.6,7.6,73.5,90.9,3.4,4.9,38902,7.4,63.4,"T","US",0.566,NA,NA
"69","US09",80.8,83.9,7.6,62.7,2.5,87.1,7.6,73.5,91.5,2.4,6.5,47976,6.9,71.5,"T","US",5.248,NA,NA
"70","US09",80.8,83.9,7.6,62.7,2.5,87.1,7.6,73.5,91.5,2.4,6.5,47976,6.9,71.5,"T","US",0.517,NA,NA
"71","US10",78.4,78.1,9.7,67.3,2.8,95.7,8.9,69.6,90.9,4.2,5.8,37669,8.1,61.2,"T","US",7.156,NA,NA
"72","US10",78.4,78.1,9.7,67.3,2.8,95.7,8.9,69.6,90.9,4.2,5.8,37669,8.1,61.2,"T","US",1.123,NA,NA
"73","US11",76.5,75.8,13,75.9,2.4,93.8,10.1,72,94.1,15.9,7.9,61738,6.8,77.5,"T","US",4.664,NA,NA
"74","US11",76.5,75.8,13,75.9,2.4,93.8,10.1,72,94.1,15.9,7.9,61738,6.8,77.5,"T","US",0.916,NA,NA
"75","US12",79.4,78.3,4.3,60.8,2.5,93.2,7.6,70.7,89.5,5,6.3,35243,7,68.1,"T","US",7.711,NA,NA
"76","US12",79.4,78.3,4.3,60.8,2.5,93.2,7.6,70.7,89.5,5,6.3,35243,7,68.1,"T","US",0.294,NA,NA
"77","US13",77.2,76.3,8.6,61.9,2.5,90.5,9.3,64.6,88.6,5.6,7.2,32009,7,75.9,"T","US",7.313,NA,NA
"78","US13",77.2,76.3,8.6,61.9,2.5,90.5,9.3,64.6,88.6,5.6,7.2,32009,7,75.9,"T","US",0.447,NA,NA
"79","US15",81.3,83.3,2.7,51.6,1.8,97.9,7.3,68.6,94.2,1.5,4.3,38409,7.6,72.2,"T","US",4.943,NA,NA
"80","US15",81.3,83.3,2.7,51.6,1.8,97.9,7.3,68.6,94.2,1.5,4.3,38409,7.6,72.2,"T","US",0.822,NA,NA
"81","US16",79.5,78.6,5,63.9,2.5,83.2,8.5,70.6,89.8,1.7,4.7,30975,6.8,80.9,"T","US",7.181,NA,NA
"82","US16",79.5,78.6,5,63.9,2.5,83.2,8.5,70.6,89.8,1.7,4.7,30975,6.8,80.9,"T","US",1.101,NA,NA
"83","US17",79,79.3,10.3,61.5,2.4,93.5,8.4,70.4,90.4,5.5,7,38765,6.9,75.9,"T","US",5.36,NA,NA
"84","US17",79,79.3,10.3,61.5,2.4,93.5,8.4,70.4,90.4,5.5,7,38765,6.9,75.9,"T","US",0.263,NA,NA
"85","US18",77.6,75.3,9.2,59.3,2.6,91,9.6,70.1,90,5.4,6,32718,7,77.4,"T","US",8.909,NA,NA
"86","US18",77.6,75.3,9.2,59.3,2.6,91,9.6,70.1,90,5.4,6,32718,7,77.4,"T","US",0.545,NA,NA
"87","US19",79.7,78.7,9.6,69.4,2.7,94.1,8.5,81.2,92.4,1.4,4.6,37902,7.5,69.4,"T","US",5.162,NA,NA
"88","US19",79.7,78.7,9.6,69.4,2.7,94.1,8.5,81.2,92.4,1.4,4.6,37902,7.5,69.4,"T","US",0.674,NA,NA
"89","US20",78.7,78.8,8.1,63.3,2.6,95.7,8.8,76.1,90.6,3.9,4.5,37508,7.4,66.9,"T","US",6.082,NA,NA
"90","US20",78.7,78.8,8.1,63.3,2.6,95.7,8.8,76.1,90.6,3.9,4.5,37508,7.4,66.9,"T","US",0.678,NA,NA
"91","US21",76,74.8,7.9,59.3,2.6,90.7,10.3,64.3,89.8,3.8,6.5,30801,7.1,77.9,"T","US",6.839,NA,NA
"92","US21",76,74.8,7.9,59.3,2.6,90.7,10.3,64.3,89.8,3.8,6.5,30801,7.1,77.9,"T","US",0.477,NA,NA
