"","x"
"1","region"
"2","REG_ID"
"3","LIFE_EXP"
"4","BB_ACC"
"5","AIR_POL"
"6","VOTERS_SH"
"7","ROOMS_PC"
"8","SUBJ_SOC_SUPP"
"9","STD_MORT"
"10","EMP_RA"
"11","EDU38_SH"
"12","HOMIC_RA"
"13","UNEM_RA"
"14","INCOME_DISP"
"15","SUBJ_LIFE_SAT"
"16","SUBJ_PERC_CORR"
"17","LEAVERS_T_RA"
"18","LEAVERS_F_RA"
"19","LEAVERS_M_RA"
"20","LEAVERS_RA_SEXDIF"
"21","NEET_T_RA"
"22","NEET_F_RA"
"23","NEET_M_RA"
"24","NEET_RA_SEXDIF"
"25","VEH_THEFT_RA"
