"","REG_ID","ISC11","region","EARLY_LEAVERS_RATE_Y18T24","NEAC_SHARE_EA_Y25T64","NEAC_SHARE_EA_Y25T34"
"142","UKM5","T","UK",13.2,NA,NA
"143","UKM7","T","UK",9.8,NA,NA
"144","UKM8","T","UK",16.3,NA,NA
"145","UKM9","T","UK",10.1,NA,NA
"146","UKN","T","UK",16.1,NA,NA
"147","UKN0","T","UK",16.1,NA,NA
"148","US01","T","US",8.058,NA,NA
"149","US01","T","US",0.597,NA,NA
"150","US02","T","US",3.186,NA,NA
"151","US02","T","US",0.756,NA,NA
"152","US04","T","US",9.418,NA,NA
"153","US04","T","US",0.485,NA,NA
"154","US05","T","US",7.094,NA,NA
"155","US05","T","US",0.76,NA,NA
"156","US06","T","US",6.871,NA,NA
"157","US06","T","US",0.16,NA,NA
"158","US08","T","US",7.213,NA,NA
"159","US08","T","US",0.566,NA,NA
"160","US09","T","US",5.248,NA,NA
"161","US09","T","US",0.517,NA,NA
"162","US10","T","US",7.156,NA,NA
"163","US10","T","US",1.123,NA,NA
"164","US11","T","US",4.664,NA,NA
"165","US11","T","US",0.916,NA,NA
"166","US12","T","US",7.711,NA,NA
"167","US12","T","US",0.294,NA,NA
"168","US13","T","US",7.313,NA,NA
"169","US13","T","US",0.447,NA,NA
"170","US15","T","US",4.943,NA,NA
"171","US15","T","US",0.822,NA,NA
"172","US16","T","US",7.181,NA,NA
"173","US16","T","US",1.101,NA,NA
"174","US17","T","US",5.36,NA,NA
"175","US17","T","US",0.263,NA,NA
"176","US18","T","US",8.909,NA,NA
"177","US18","T","US",0.545,NA,NA
"178","US19","T","US",5.162,NA,NA
"179","US19","T","US",0.674,NA,NA
"180","US20","T","US",6.082,NA,NA
"181","US20","T","US",0.678,NA,NA
"182","US21","T","US",6.839,NA,NA
"183","US21","T","US",0.477,NA,NA
"184","US22","T","US",11.521,NA,NA
"185","US22","T","US",0.809,NA,NA
"186","US23","T","US",5.659,NA,NA
"187","US23","T","US",1.046,NA,NA
"188","US24","T","US",6.408,NA,NA
"189","US24","T","US",0.414,NA,NA
"190","US25","T","US",3.976,NA,NA
"191","US25","T","US",0.313,NA,NA
"192","US26","T","US",6.47,NA,NA
"193","US26","T","US",0.359,NA,NA
"194","US27","T","US",4.368,NA,NA
"195","US27","T","US",0.458,NA,NA
"196","US28","T","US",9.155,NA,NA
"197","US28","T","US",0.616,NA,NA
"198","US29","T","US",6.363,NA,NA
"199","US29","T","US",0.426,NA,NA
"200","US30","T","US",6.671,NA,NA
"201","US30","T","US",1.378,NA,NA
"202","US31","T","US",4.309,NA,NA
"203","US31","T","US",0.74,NA,NA
"204","US32","T","US",10.244,NA,NA
"205","US32","T","US",0.841,NA,NA
"206","US33","T","US",4.321,NA,NA
"207","US33","T","US",0.905,NA,NA
"208","US34","T","US",5.327,NA,NA
"209","US34","T","US",0.341,NA,NA
"210","US35","T","US",10.313,NA,NA
"211","US35","T","US",0.985,NA,NA
"212","US36","T","US",6.398,NA,NA
"213","US36","T","US",0.257,NA,NA
"214","US37","T","US",6.499,NA,NA
"215","US37","T","US",0.364,NA,NA
"216","US38","T","US",4.833,NA,NA
"217","US38","T","US",1.219,NA,NA
"218","US39","T","US",6.812,NA,NA
"219","US39","T","US",0.405,NA,NA
"220","US40","T","US",8.656,NA,NA
"221","US40","T","US",0.621,NA,NA
"222","US41","T","US",7.696,NA,NA
"223","US41","T","US",0.642,NA,NA
"224","US42","T","US",5.757,NA,NA
"225","US42","T","US",0.298,NA,NA
"226","US44","T","US",7.339,NA,NA
"227","US44","T","US",0.987,NA,NA
"228","US45","T","US",7.778,NA,NA
"229","US45","T","US",0.436,NA,NA
"230","US46","T","US",7.289,NA,NA
"231","US46","T","US",1.487,NA,NA
"232","US47","T","US",6.082,NA,NA
"233","US47","T","US",0.434,NA,NA
"234","US48","T","US",8.232,NA,NA
"235","US48","T","US",0.221,NA,NA
"236","US49","T","US",7.551,NA,NA
"237","US49","T","US",0.704,NA,NA
"238","US50","T","US",2.157,NA,NA
"239","US50","T","US",0.751,NA,NA
"240","US51","T","US",4.565,NA,NA
"241","US51","T","US",0.421,NA,NA
"242","US53","T","US",8.035,NA,NA
"243","US53","T","US",0.523,NA,NA
"244","US54","T","US",7.671,NA,NA
"245","US54","T","US",0.851,NA,NA
"246","US55","T","US",4.945,NA,NA
"247","US55","T","US",0.473,NA,NA
"248","US56","T","US",4.844,NA,NA
"249","US56","T","US",1.336,NA,NA
