"","id","label"
"253","FRI","Nouvelle-Aquitaine"
"254","FRJ","Occitanie"
"255","FRK","Auvergne-Rhône-Alpes"
"256","FRL","Provence-Alpes-Côte d’Azur"
"257","FRM","Corsica"
"258","FRY1","Guadeloupe"
"259","FRY2","Martinique"
"260","FRY3","French Guiana"
"261","FRY4","La Réunion"
"262","FRY5","Mayotte"
"263","DEU","Germany"
"264","DEU_EU2","Germany - Non official grid (NUTS2)"
"265","DE11","Stuttgart"
"266","DE12","Karlsruhe"
"267","DE13","Freiburg"
"268","DE14","Tübingen"
"269","DE21","Upper Bavaria"
"270","DE22","Lower Bavaria"
"271","DE23","Oberpfalz"
"272","DE24","Oberfranken"
"273","DE25","Mittelfranken"
"274","DE26","Unterfranken"
"275","DE27","Swabia"
"276","DE30","Berlin"
"277","DE40","Brandenburg"
"278","DE50","Bremen"
"279","DE60","Hamburg"
"280","DE71","Darmstadt"
"281","DE72","Gießen"
"282","DE73","Kassel"
"283","DE80","Mecklenburg-Vorpommern"
"284","DE91","Brunswick"
"285","DE92","Hanover"
"286","DE93","Lüneburg"
"287","DE94","Weser-Ems"
"288","DEA1","Dusseldorf"
"289","DEA2","Cologne"
"290","DEA3","Münster"
"291","DEA4","Detmold"
"292","DEA5","Arnsberg"
"293","DEB1","Koblenz"
"294","DEB2","Trier"
"295","DEB3","Rheinhessen-Pfalz"
"296","DEC0","Saarland"
"297","DED2","Dresden"
"298","DED4","Chemnitz"
"299","DED5","Leipzig"
"300","DEE0","Sachsen-Anhalt"
"301","DEF0","Schleswig-Holstein"
"302","DEG0","Thuringia"
"303","DE1","Baden-Württemberg"
"304","DE2","Bavaria"
"305","DE3","Berlin"
"306","DE4","Brandenburg"
"307","DE5","Bremen"
"308","DE6","Hamburg"
"309","DE7","Hesse"
"310","DE8","Mecklenburg-Vorpommern"
"311","DE9","Lower Saxony"
"312","DEA","North Rhine-Westphalia"
"313","DEB","Rhineland-Palatinate"
"314","DEC","Saarland"
"315","DED","Saxony"
"316","DEE","Saxony-Anhalt"
"317","DEF","Schleswig-Holstein"
"318","DEG","Thuringia"
"319","GRC","Greece"
"320","EL30","Attica"
"321","EL41","North Aegean"
"322","EL42","South Aegean"
"323","EL43","Crete"
"324","EL51","Eastern Macedonia, Thrace"
"325","EL52","Central Macedonia"
"326","EL53","Western Macedonia"
"327","EL54","Epirus"
"328","EL61","Thessaly"
"329","EL62","Ionian Islands"
"330","EL63","Western Greece"
"331","EL64","Central Greece"
"332","EL65","Peloponnese"
"333","HUN","Hungary"
"334","HUN_TL2","Hungary - Large regions (TL2)"
"335","HU10","Central Hungary (nuts2013)"
"336","HU11","Budapest"
"337","HU12","Pest"
"338","HU21","Central Transdanubia"
"339","HU22","Western Transdanubia"
"340","HU23","Southern Transdanubia"
"341","HU31","Northern Hungary"
"342","HU32","Northern Great Plain"
"343","HU33","Southern Great Plain"
"344","ISL","Iceland"
"345","IRL","Ireland"
"346","IE04","Northern and Western"
"347","IE05","Southern"
"348","IE06","Eastern and Midland"
"349","IE01","Border, Midland and Western"
"350","IE02","Southern and Eastern"
"351","ISR","Israel"
"352","ISR_TL2","Israel - Large regions (TL2)"
"353","IL07","Judea and Samaria"
"354","ISR_TL3","Israel - Small regions (TL3)"
"355","IL070","Judea & Samaria Area"
"356","IL01","Jerusalem District"
"357","IL010","Jerusalem District"
"358","IL02","Northern District"
"359","IL020","Northern District"
"360","IL03","Haifa District"
"361","IL030","Haifa District"
"362","IL04","Central District"
"363","IL040","Central District"
"364","IL05","Tel Aviv District"
"365","IL050","Tel Aviv District"
"366","IL06","Southern District"
"367","IL060","Southern District"
"368","ITA","Italy"
"369","ITC1","Piedmont"
"370","ITC2","Aosta Valley"
"371","ITC3","Liguria"
"372","ITC4","Lombardy"
"373","ITF1","Abruzzo"
"374","ITF2","Molise"
"375","ITF3","Campania"
"376","ITF4","Apulia"
"377","ITF5","Basilicata"
"378","ITF6","Calabria"
"379","ITG1","Sicily"
"380","ITG2","Sardinia"
"381","ITH1","Province of Bolzano-Bozen"
"382","ITH2","Province of Trento"
"383","ITH3","Veneto"
"384","ITH4","Friuli-Venezia Giulia"
"385","ITH5","Emilia-Romagna"
"386","ITI1","Tuscany"
"387","ITI2","Umbria"
"388","ITI3","Marche"
"389","ITI4","Lazio"
"390","JPN","Japan"
"391","JPA","Hokkaido"
"392","JPB","Tohoku"
"393","JPC","Northern-Kanto, Koshin"
"394","JPD","Southern-Kanto"
"395","JPE","Hokuriku"
"396","JPF","Toukai"
"397","JPG","Kansai region"
"398","JPH","Chugoku"
"399","JPI","Shikoku"
"400","JPJ","Kyushu, Okinawa"
"401","KOR","Korea"
"402","KR01","Seoul Capital Area"
"403","KR011","Seoul"
"404","KR012","Incheon"
"405","KR013","Gyeonggi-do"
"406","KR02","Gyeongnam Region"
"407","KR021","Busan"
"408","KR022","Ulsan"
"409","KR023","Gyeongsangnam-do"
"410","KR03","Gyeongbuk Region"
"411","KR031","Daegu"
"412","KR032","Gyeongsangbuk-do"
"413","KR04","Jeolla Region"
"414","KR041","Gwangju"
"415","KR042","Jeollabuk-do"
"416","KR043","Jeollanam-do"
"417","KR05","Chungcheong Region"
"418","KR051","Daejeon"
"419","KR052","Chungcheongbuk-do"
"420","KR053","Chungcheongnam-do"
"421","KR054","Sejong"
"422","KR06","Gangwon Region"
"423","KR061","Gangwon-do"
"424","KR07","Jeju"
"425","KR071","Jeju-do"
"426","LVA","Latvia"
"427","LV00","Latvia"
"428","LV003","Kurzeme"
"429","LV005","Latgale"
"430","LV006","Riga"
"431","LV007","Pieriga"
"432","LV008","Vidzeme"
"433","LV009","Zemgale"
"434","LTU","Lithuania"
"435","LTU_TL2","Lithuania - Large regions (TL2)"
"436","LT00","Lithuania (nuts2013)"
"437","LT01","Vilnius Region"
"438","LT011","Vilnius county"
"439","LT02","Central and Western Lithuania"
"440","LT021","Alytus county"
"441","LT022","Kaunas county"
"442","LT023","Klaipeda county"
"443","LT024","Marijampole county"
"444","LT025","Panevežys county"
"445","LT026","Šiauliai county"
"446","LT027","Taurage county"
"447","LT028","Telšiai county"
"448","LT029","Utena county"
"449","LUX","Luxembourg"
"450","LU00","Luxembourg"
"451","MEX","Mexico"
"452","ME01","Aguascalientes"
"453","ME01R1","Aguacalientes, R1"
"454","ME01R2","Aguacalientes, R2"
"455","ME02","Baja California"
"456","ME02R1","Baja California, R1"
"457","ME02R2","Baja California, R2"
"458","ME02R3","Baja California, R3"
"459","ME02R4","Baja California, R4"
"460","ME03","Baja California Sur"
"461","ME03R1","Baja California Sur, R1"
"462","ME03R2","Baja California Sur, R2"
"463","ME03R3","Baja California Sur, R3"
"464","ME03R4","Baja California Sur, R4"
"465","ME04","Campeche"
"466","ME04R1","Campeche, R1"
"467","ME04R2","Campeche, R2"
"468","ME04R3","Campeche, R3"
"469","ME04R4","Campeche, R4"
"470","ME05","Coahuila"
"471","ME05R1","Coahuila, R1"
"472","ME05R2","Coahuila, R2"
"473","ME05R3","Coahuila, R3"
"474","ME05R4","Coahuila, R4"
"475","ME05R5","Coahuila, R5"
"476","ME05R6","Coahuila, R6"
"477","ME06","Colima"
"478","ME06R1","Colima, R1"
"479","ME06R2","Colima, R2"
"480","ME06R3","Colima, R3"
"481","ME07","Chiapas"
"482","ME07R1","Chiapas, R1"
"483","ME07R2","Chiapas, R2"
"484","ME07R3","Chiapas, R3"
"485","ME07R4","Chiapas, R4"
"486","ME07R5","Chiapas, R5"
"487","ME07R6","Chiapas, R6"
"488","ME07R7","Chiapas, R7"
"489","ME07R8","Chiapas, R8"
"490","ME07R9","Chiapas, R9"
"491","ME08","Chihuahua"
"492","ME08R1","Chihuahua, R1"
"493","ME08R10","Chihuahua, R10"
"494","ME08R11","Chihuahua, R11"
"495","ME08R12","Chihuahua, R12"
"496","ME08R13","Chihuahua, R13"
"497","ME08R2","Chihuahua, R2"
"498","ME08R3","Chihuahua, R3"
"499","ME08R4","Chihuahua, R4"
"500","ME08R5","Chihuahua, R5"
"501","ME08R6","Chihuahua, R6"
"502","ME08R7","Chihuahua, R7"
"503","ME08R8","Chihuahua, R8"
"504","ME08R9","Chihuahua, R9"
"505","ME09","Mexico City"
"506","ME09R1","Distrito Federal (MX), R1"
"507","ME09R2","Distrito Federal (MX), R2"
"508","ME10","Durango"
"509","ME10R1","Durango, R1"
"510","ME10R2","Durango, R2"
"511","ME10R3","Durango, R3"
"512","ME10R4","Durango, R4"
"513","ME10R5","Durango, R5"
"514","ME10R6","Durango, R6"
"515","ME10R7","Durango, R7"
"516","ME10R8","Durango, R8"
"517","ME10R9","Durango, R9"
"518","ME11","Guanajuato"
"519","ME11R1","Guanajuato, R1"
"520","ME11R2","Guanajuato, R2"
"521","ME11R3","Guanajuato, R3"
"522","ME11R4","Guanajuato, R4"
"523","ME12","Guerrero"
"524","ME12R1","Guerrero, R1"
"525","ME12R2","Guerrero, R2"
"526","ME12R3","Guerrero, R3"
"527","ME12R4","Guerrero, R4"
"528","ME12R5","Guerrero, R5"
"529","ME12R6","Guerrero, R6"
"530","ME12R7","Guerrero, R7"
"531","ME13","Hidalgo"
"532","ME13R1","Hidalgo, R1"
"533","ME13R10","Hidalgo, R10"
"534","ME13R11","Hidalgo, R11"
"535","ME13R12","Hidalgo, R12"
"536","ME13R13","Hidalgo, R13"
"537","ME13R2","Hidalgo, R2"
"538","ME13R3","Hidalgo, R3"
"539","ME13R4","Hidalgo, R4"
"540","ME13R5","Hidalgo, R5"
"541","ME13R6","Hidalgo, R6"
"542","ME13R7","Hidalgo, R7"
"543","ME13R8","Hidalgo, R8"
"544","ME13R9","Hidalgo, R9"
"545","ME14","Jalisco"
"546","ME14R1","Jalisco, R1"
"547","ME14R10","Jalisco, R10"
"548","ME14R2","Jalisco, R2"
"549","ME14R3","Jalisco, R3"
"550","ME14R4","Jalisco, R4"
"551","ME14R5","Jalisco, R5"
"552","ME14R6","Jalisco, R6"
"553","ME14R7","Jalisco, R7"
"554","ME14R8","Jalisco, R8"
"555","ME14R9","Jalisco, R9"
"556","ME15","Mexico"
"557","ME15R1","Mexico, R1"
"558","ME15R2","Mexico, R2"
"559","ME15R3","Mexico, R3"
"560","ME15R4","Mexico, R4"
"561","ME15R5","Mexico, R5"
"562","ME15R6","Mexico, R6"
"563","ME15R7","Mexico, R7"
"564","ME15R8","Mexico, R8"
"565","ME16","Michoacan"
"566","ME16R1","Michoacan, R1"
"567","ME16R2","Michoacan, R2"
"568","ME16R3","Michoacan, R3"
"569","ME16R4","Michoacan, R4"
"570","ME16R5","Michoacan, R5"
"571","ME16R6","Michoacan, R6"
"572","ME17","Morelos"
"573","ME17R1","Morelos, R1"
"574","ME17R2","Morelos, R2"
"575","ME17R3","Morelos, R3"
"576","ME17R4","Morelos, R4"
"577","ME17R5","Morelos, R5"
"578","ME17R6","Morelos, R6"
"579","ME17R7","Morelos, R7"
"580","ME18","Nayarit"
"581","ME18R1","Nayarit, R1"
"582","ME18R2","Nayarit, R2"
"583","ME18R3","Nayarit, R3"
"584","ME18R4","Nayarit, R4"
"585","ME18R5","Nayarit, R5"
"586","ME19","Nuevo Leon"
"587","ME19R1","Nuevo Leon, R1"
"588","ME19R2","Nuevo Leon, R2"
"589","ME19R3","Nuevo Leon, R3"
"590","ME19R4","Nuevo Leon, R4"
"591","ME19R5","Nuevo Leon, R5"
"592","ME19R6","Nuevo Leon, R6"
"593","ME19R7","Nuevo Leon, R7"
"594","ME20","Oaxaca"
"595","ME20R1","Oaxaca, R1"
"596","ME20R2","Oaxaca, R2"
"597","ME20R3","Oaxaca, R3"
"598","ME20R4","Oaxaca, R4"
"599","ME20R5","Oaxaca, R5"
"600","ME20R6","Oaxaca, R6"
"601","ME20R7","Oaxaca, R7"
"602","ME20R8","Oaxaca, R8"
"603","ME21","Puebla"
"604","ME21R1","Puebla, R1"
"605","ME21R2","Puebla, R2"
"606","ME21R3","Puebla, R3"
"607","ME21R4","Puebla, R4"
"608","ME21R5","Puebla, R5"
"609","ME21R6","Puebla, R6"
"610","ME21R7","Puebla, R7"
"611","ME22","Queretaro"
"612","ME22R1","Queretaro, R1"
"613","ME22R2","Queretaro, R2"
"614","ME22R3","Queretaro, R3"
"615","ME22R4","Queretaro, R4"
"616","ME22R5","Queretaro, R5"
"617","ME23","Quintana Roo"
"618","ME23R1","Quintana Roo, R1"
"619","ME23R2","Quintana Roo, R2"
"620","ME23R3","Quintana Roo, R3"
"621","ME23R4","Quintana Roo, R4"
"622","ME24","San Luis Potosi"
"623","ME24R1","San Luis Potosi, R1"
"624","ME24R2","San Luis Potosi, R2"
"625","ME24R3","San Luis Potosi, R3"
"626","ME24R4","San Luis Potosi, R4"
"627","ME25","Sinaloa"
"628","ME25R1","Sinaloa, R1"
"629","ME25R2","Sinaloa, R2"
"630","ME25R3","Sinaloa, R3"
"631","ME25R4","Sinaloa, R4"
"632","ME25R5","Sinaloa, R5"
"633","ME26","Sonora"
"634","ME26R1","Sonora, R1"
"635","ME26R10","Sonora, R10"
"636","ME26R11","Sonora, R11"
"637","ME26R12","Sonora, R12"
"638","ME26R2","Sonora, R2"
"639","ME26R3","Sonora, R3"
"640","ME26R4","Sonora, R4"
"641","ME26R5","Sonora, R5"
"642","ME26R6","Sonora, R6"
"643","ME26R7","Sonora, R7"
"644","ME26R8","Sonora, R8"
"645","ME26R9","Sonora, R9"
"646","ME27","Tabasco"
"647","ME27R1","Tabasco, R1"
"648","ME27R2","Tabasco, R2"
"649","ME27R3","Tabasco, R3"
"650","ME27R4","Tabasco, R4"
"651","ME28","Tamaulipas"
"652","ME28R1","Tamaulipas, R1"
"653","ME28R2","Tamaulipas, R2"
"654","ME28R3","Tamaulipas, R3"
"655","ME28R4","Tamaulipas, R4"
"656","ME29","Tlaxcala"
"657","ME29R1","Tlaxcala, R1"
"658","ME29R2","Tlaxcala, R2"
"659","ME29R3","Tlaxcala, R3"
"660","ME29R4","Tlaxcala, R4"
"661","ME29R5","Tlaxcala, R5"
"662","ME29R6","Tlaxcala, R6"
"663","ME29R7","Tlaxcala, R7"
"664","ME29R8","Tlaxcala, R8"
"665","ME29R9","Tlaxcala, R9"
"666","ME30","Veracruz"
"667","ME30R1","Veracruz, R1"
"668","ME30R2","Veracruz, R2"
"669","ME30R3","Veracruz, R3"
"670","ME30R4","Veracruz, R4"
"671","ME30R5","Veracruz, R5"
"672","ME30R6","Veracruz, R6"
"673","ME30R7","Veracruz, R7"
"674","ME31","Yucatan"
"675","ME31R1","Yucatan, R1"
"676","ME31R2","Yucatan, R2"
"677","ME31R3","Yucatan, R3"
"678","ME31R4","Yucatan, R4"
"679","ME31R5","Yucatan, R5"
"680","ME31R6","Yucatan, R6"
"681","ME31R7","Yucatan, R7"
"682","ME31R8","Yucatan, R8"
"683","ME32","Zacatecas"
"684","ME32R1","Zacatecas, R1"
"685","ME32R2","Zacatecas, R2"
"686","ME32R3","Zacatecas, R3"
"687","ME32R4","Zacatecas, R4"
"688","ME32R5","Zacatecas, R5"
"689","ME32R6","Zacatecas, R6"
"690","ME32R7","Zacatecas, R7"
"691","ME32R8","Zacatecas, R8"
"692","ME32R9","Zacatecas, R9"
"693","NLD","Netherlands"
"694","NL11","Groningen"
"695","NL12","Friesland"
"696","NL13","Drenthe"
"697","NL21","Overijssel"
"698","NL22","Gelderland"
"699","NL23","Flevoland"
"700","NL31","Utrecht"
"701","NL32","North Holland"
"702","NL33","South Holland"
"703","NL34","Zeeland"
"704","NL41","North Brabant"
"705","NL42","Limburg"
"706","NZL","New Zealand"
"707","NZ11","Northland"
"708","NZ011","Northland"
"709","NZ12","Auckland"
"710","NZ012","Auckland"
"711","NZ13","Waikato"
"712","NZ013","Waikato"
"713","NZ14","Bay of Plenty"
"714","NZ014","Bay of Plenty"
"715","NZ15","Gisborne"
"716","NZ015","Gisborne"
"717","NZ17","Taranaki"
"718","NZ017","Taranaki"
"719","NZ18","Manawatu-Wanganui"
"720","NZ018","Manawatu-Wanganui"
"721","NZ19","Wellington"
"722","NZ019","Wellington"
"723","NZ21","Tasman-Nelson-Marlborough"
"724","NZ021","Tasman-Nelson-Marlborough"
"725","NZ23","Canterbury"
"726","NZ023","Canterbury"
"727","NZ24","Otago"
"728","NZ024","Otago"
"729","NZ25","Southland"
"730","NZ025","Southland"
"731","NOR","Norway"
"732","NO02","Innlandet"
"733","NO06","Trøndelag"
"734","NO07","Northern Norway"
"735","NO08","Oslo and Viken"
"736","NO01","Oslo and Akershus"
"737","NO03","South-Eastern Norway"
"738","NO09","Agder and Sør-Østlandet"
"739","NO0A","Western Norway"
"740","NO05","Western Norway"
"741","NO04","Agder and Rogaland"
"742","POL","Poland"
"743","POL_TL2","Poland - Large regions (TL2)"
"744","PL12","Mazovia (nuts2013)"
"745","PL21","Lesser Poland "
"746","PL22","Silesia"
"747","PL41","Greater Poland"
"748","PL42","West Pomerania"
"749","PL43","Lubusz"
"750","PL51","Lower Silesia "
"751","PL52","Opole region"
"752","PL61","Kuyavian-Pomerania"
"753","PL62","Warmian-Masuria"
"754","PL63","Pomerania"
"755","PL71","Lodzkie"
"756","PL72","Swietokrzyskie"
"757","PL81","Lublin Province "
"758","PL82","Podkarpacia"
"759","PL84","Podlaskie"
"760","PL91","Warsaw"
"761","PL92","Mazowiecki region"
"762","PRT","Portugal"
"763","PT11","North (PT)"
"764","PT15","Algarve"
"765","PT16","Central Portugal"
"766","PT17","Metropolitan area of Lisbon"
"767","PT18","Alentejo"
"768","PT20","Autonomous Region of the Azores"
"769","PT30","Autonomous Region of Madeira"
"770","SVK","Slovak Republic"
"771","SK01","Bratislava Region"
"772","SK02","West Slovakia"
"773","SK03","Central Slovakia"
"774","SK04","East Slovakia"
"775","SVN","Slovenia"
"776","SI03","Eastern Slovenia"
"777","SI04","Western Slovenia"
"778","ESP","Spain"
"779","ES11","Galicia"
"780","ES12","Asturias"
"781","ES13","Cantabria"
"782","ES21","Basque Country"
"783","ES22","Navarra"
"784","ES23","La Rioja"
"785","ES24","Aragon"
"786","ES30","Madrid"
"787","ES41","Castile and León"
"788","ES42","Castile-La Mancha"
"789","ES43","Extremadura"
"790","ES51","Catalonia"
"791","ES52","Valencia"
"792","ES53","Balearic Islands"
"793","ES61","Andalusia"
"794","ES62","Murcia"
"795","ES63","Ceuta "
"796","ES64","Melilla"
"797","ES70","Canary Islands"
"798","SWE","Sweden"
"799","SE11","Stockholm"
"800","SE12","East Middle Sweden"
"801","SE21","Småland with Islands"
"802","SE22","South Sweden"
"803","SE23","West Sweden"
"804","SE31","North Middle Sweden"
"805","SE32","Central Norrland"
"806","SE33","Upper Norrland"
"807","CHE","Switzerland"
"808","CH01","Lake Geneva Region"
"809","CH011","Vaud"
"810","CH012","Valais"
"811","CH013","Genève"
"812","CH02","Espace Mittelland"
"813","CH021","Bern"
"814","CH022","Fribourg (CH)"
"815","CH023","Solothurn"
"816","CH024","Neuchâtel"
"817","CH025","Jura (CH)"
"818","CH03","Northwestern Switzerland "
"819","CH031","Basel-Stadt"
"820","CH032","Basel-Landschaft"
"821","CH033","Aargau"
"822","CH04","Zurich"
"823","CH040","Zürich"
"824","CH05","Eastern Switzerland"
"825","CH051","Glarus"
"826","CH052","Schaffhausen"
"827","CH053","Appenzell Ausserrhoden"
"828","CH054","Appenzell Innerrhoden"
"829","CH055","St. Gallen"
"830","CH056","Graubünden"
"831","CH057","Thurgau"
"832","CH06","Central Switzerland"
"833","CH061","Lucerne"
"834","CH062","Uri"
"835","CH063","Schwyz"
"836","CH064","Obwalden"
"837","CH065","Nidwalden"
"838","CH066","Zug"
"839","CH07","Ticino"
"840","CH070","Ticino"
"841","TUR","Türkiye"
"842","TR10","Istanbul"
"843","TR21","Thrace"
"844","TR22","Southern Marmara - West"
"845","TR31","Izmir"
"846","TR32","Southern Aegean"
"847","TR33","Northern Aegean"
"848","TR41","Eastern Marmara - South "
"849","TR42","Eastern Marmara - North"
"850","TR51","Ankara"
"851","TR52","Central Anatolia - West and South"
"852","TR61","Mediterranean region - West"
"853","TR62","Mediterranean region - Middle"
"854","TR63","Mediterranean region - East "
"855","TR71","Central Anatolia - Middle"
"856","TR72","Central Anatolia - East"
"857","TR81","Western Black Sea - West"
"858","TR82","Western Black Sea - Middle and East"
"859","TR83","Middle Black Sea"
